  Timestamp,House
  10/13/2021 16:00:07,Ravenclaw
  10/13/2021 16:00:07,Gryffindor
  10/13/2021 16:00:09,Ravenclaw
  10/13/2021 16:00:10,Gryffindor
  10/13/2021 16:00:11,Ravenclaw
  10/13/2021 16:00:13,Gryffindor
  10/13/2021 16:00:14,Hufflepuff
  10/13/2021 16:00:16,Gryffindor
  10/13/2021 16:00:17,Hufflepuff
  10/13/2021 16:00:18,Gryffindor
  10/13/2021 16:00:19,Slytherin
  10/13/2021 16:00:21,Slytherin
  10/13/2021 16:00:24,Gryffindor
  10/13/2021 16:00:25,Slytherin
  10/13/2021 16:00:30,Ravenclaw